ID Number,Name,Method,Result,Method,Result,Method,Result,Method,Result,Method,Result,Method,Result,Method,Result
251,Celebi,None,~,None,~,None,~,None,~,None,~,None,~,None,~
252,Treecko,Level Up,Grovyle,None,~,None,~,None,~,None,~,None,~,None,~
253,Grovyle,Level Up,Sceptile,None,~,None,~,None,~,None,~,None,~,None,~
254,Sceptile,None,~,None,~,None,~,None,~,None,~,None,~,None,~
255,Torchic,Level Up,Combusken,None,~,None,~,None,~,None,~,None,~,None,~
256,Combusken,Level Up,Blaziken,None,~,None,~,None,~,None,~,None,~,None,~
257,Blaziken,None,~,None,~,None,~,None,~,None,~,None,~,None,~
258,Mudkip,Level Up,Marshtomp,None,~,None,~,None,~,None,~,None,~,None,~
259,Marshtomp,Level Up,Swampert,None,~,None,~,None,~,None,~,None,~,None,~
260,Swampert,None,~,None,~,None,~,None,~,None,~,None,~,None,~
261,Poochyena,Level Up,Mightyena,None,~,None,~,None,~,None,~,None,~,None,~
262,Mightyena,None,~,None,~,None,~,None,~,None,~,None,~,None,~
263,Zigzagoon,Level Up,Linoone,None,~,None,~,None,~,None,~,None,~,None,~
264,Linoone,None,~,None,~,None,~,None,~,None,~,None,~,None,~
265,Wurmple,Level (PID > 5),Silcoon,Level (PID < 5),Cascoon,None,~,None,~,None,~,None,~,None,~
266,Silcoon,Level Up,Beautifly,None,~,None,~,None,~,None,~,None,~,None,~
267,Beautifly,None,~,None,~,None,~,None,~,None,~,None,~,None,~
268,Cascoon,Level Up,Dustox,None,~,None,~,None,~,None,~,None,~,None,~
269,Dustox,None,~,None,~,None,~,None,~,None,~,None,~,None,~
270,Lotad,Level Up,Lombre,None,~,None,~,None,~,None,~,None,~,None,~
271,Lombre,Use Item,Ludicolo,None,~,None,~,None,~,None,~,None,~,None,~
272,Ludicolo,None,~,None,~,None,~,None,~,None,~,None,~,None,~
273,Seedot,Level Up,Nuzleaf,None,~,None,~,None,~,None,~,None,~,None,~
274,Nuzleaf,Use Item,Shiftry,None,~,None,~,None,~,None,~,None,~,None,~
275,Shiftry,None,~,None,~,None,~,None,~,None,~,None,~,None,~
276,Taillow,Level Up,Swellow,None,~,None,~,None,~,None,~,None,~,None,~
277,Swellow,None,~,None,~,None,~,None,~,None,~,None,~,None,~
278,Wingull,Level Up,Pelipper,None,~,None,~,None,~,None,~,None,~,None,~
279,Pelipper,None,~,None,~,None,~,None,~,None,~,None,~,None,~
280,Ralts,Level Up,Kirlia,None,~,None,~,None,~,None,~,None,~,None,~
281,Kirlia,Level Up,Gardevoir,Use Item (Male),Gallade,None,~,None,~,None,~,None,~,None,~
282,Gardevoir,None,~,None,~,None,~,None,~,None,~,None,~,None,~
283,Surskit,Level Up,Masquerain,None,~,None,~,None,~,None,~,None,~,None,~
284,Masquerain,None,~,None,~,None,~,None,~,None,~,None,~,None,~
285,Shroomish,Level Up,Breloom,None,~,None,~,None,~,None,~,None,~,None,~
286,Breloom,None,~,None,~,None,~,None,~,None,~,None,~,None,~
287,Slakoth,Level Up,Vigoroth,None,~,None,~,None,~,None,~,None,~,None,~
288,Vigoroth,Level Up,Slaking,None,~,None,~,None,~,None,~,None,~,None,~
289,Slaking,None,~,None,~,None,~,None,~,None,~,None,~,None,~
290,Nincada,Level (1 of 2),Ninjask,Level (2 of 2),Shedinja,None,~,None,~,None,~,None,~,None,~
291,Ninjask,None,~,None,~,None,~,None,~,None,~,None,~,None,~
292,Shedinja,None,~,None,~,None,~,None,~,None,~,None,~,None,~
293,Whismur,Level Up,Loudred,None,~,None,~,None,~,None,~,None,~,None,~
294,Loudred,Level Up,Exploud,None,~,None,~,None,~,None,~,None,~,None,~
295,Exploud,None,~,None,~,None,~,None,~,None,~,None,~,None,~
296,Makuhita,Level Up,Hariyama,None,~,None,~,None,~,None,~,None,~,None,~
297,Hariyama,None,~,None,~,None,~,None,~,None,~,None,~,None,~
298,Azurill,Happiness,Marill,None,~,None,~,None,~,None,~,None,~,None,~
299,Nosepass,Level (Mt. Coronet),Probopass,None,~,None,~,None,~,None,~,None,~,None,~
300,Skitty,Use Item,Delcatty,None,~,None,~,None,~,None,~,None,~,None,~
301,Delcatty,None,~,None,~,None,~,None,~,None,~,None,~,None,~
302,Sableye,None,~,None,~,None,~,None,~,None,~,None,~,None,~
303,Mawile,None,~,None,~,None,~,None,~,None,~,None,~,None,~
304,Aron,Level Up,Lairon,None,~,None,~,None,~,None,~,None,~,None,~
305,Lairon,Level Up,Aggron,None,~,None,~,None,~,None,~,None,~,None,~
306,Aggron,None,~,None,~,None,~,None,~,None,~,None,~,None,~
307,Meditite,Level Up,Medicham,None,~,None,~,None,~,None,~,None,~,None,~
308,Medicham,None,~,None,~,None,~,None,~,None,~,None,~,None,~
309,Electrike,Level Up,Manectric,None,~,None,~,None,~,None,~,None,~,None,~
310,Manectric,None,~,None,~,None,~,None,~,None,~,None,~,None,~
311,Plusle,None,~,None,~,None,~,None,~,None,~,None,~,None,~
312,Minun,None,~,None,~,None,~,None,~,None,~,None,~,None,~
313,Volbeat,None,~,None,~,None,~,None,~,None,~,None,~,None,~
314,Illumise,None,~,None,~,None,~,None,~,None,~,None,~,None,~
315,Roselia,Use Item,Roserade,None,~,None,~,None,~,None,~,None,~,None,~
316,Gulpin,Level Up,Swalot,None,~,None,~,None,~,None,~,None,~,None,~
317,Swalot,None,~,None,~,None,~,None,~,None,~,None,~,None,~
318,Carvanha,Level Up,Sharpedo,None,~,None,~,None,~,None,~,None,~,None,~
319,Sharpedo,None,~,None,~,None,~,None,~,None,~,None,~,None,~
320,Wailmer,Level Up,Wailord,None,~,None,~,None,~,None,~,None,~,None,~
321,Wailord,None,~,None,~,None,~,None,~,None,~,None,~,None,~
322,Numel,Level Up,Camerupt,None,~,None,~,None,~,None,~,None,~,None,~
323,Camerupt,None,~,None,~,None,~,None,~,None,~,None,~,None,~
324,Torkoal,None,~,None,~,None,~,None,~,None,~,None,~,None,~
325,Spoink,Level Up,Grumpig,None,~,None,~,None,~,None,~,None,~,None,~
326,Grumpig,None,~,None,~,None,~,None,~,None,~,None,~,None,~
327,Spinda,None,~,None,~,None,~,None,~,None,~,None,~,None,~
328,Trapinch,Level Up,Vibrava,None,~,None,~,None,~,None,~,None,~,None,~
329,Vibrava,Level Up,Flygon,None,~,None,~,None,~,None,~,None,~,None,~
330,Flygon,None,~,None,~,None,~,None,~,None,~,None,~,None,~
331,Cacnea,Level Up,Cacturne,None,~,None,~,None,~,None,~,None,~,None,~
332,Cacturne,None,~,None,~,None,~,None,~,None,~,None,~,None,~
333,Swablu,Level Up,Altaria,None,~,None,~,None,~,None,~,None,~,None,~
334,Altaria,None,~,None,~,None,~,None,~,None,~,None,~,None,~
335,Zangoose,None,~,None,~,None,~,None,~,None,~,None,~,None,~
336,Seviper,None,~,None,~,None,~,None,~,None,~,None,~,None,~
337,Lunatone,None,~,None,~,None,~,None,~,None,~,None,~,None,~
338,Solrock,None,~,None,~,None,~,None,~,None,~,None,~,None,~
339,Barboach,Level Up,Whiscash,None,~,None,~,None,~,None,~,None,~,None,~
340,Whiscash,None,~,None,~,None,~,None,~,None,~,None,~,None,~
341,Corphish,Level Up,Crawdaunt,None,~,None,~,None,~,None,~,None,~,None,~
342,Crawdaunt,None,~,None,~,None,~,None,~,None,~,None,~,None,~
343,Baltoy,Level Up,Claydol,None,~,None,~,None,~,None,~,None,~,None,~
344,Claydol,None,~,None,~,None,~,None,~,None,~,None,~,None,~
345,Lileep,Level Up,Cradily,None,~,None,~,None,~,None,~,None,~,None,~
346,Cradily,None,~,None,~,None,~,None,~,None,~,None,~,None,~
347,Anorith,Level Up,Armaldo,None,~,None,~,None,~,None,~,None,~,None,~
348,Armaldo,None,~,None,~,None,~,None,~,None,~,None,~,None,~
349,Feebas,Max Beauty,Milotic,None,~,None,~,None,~,None,~,None,~,None,~
350,Milotic,None,~,None,~,None,~,None,~,None,~,None,~,None,~
351,Castform,None,~,None,~,None,~,None,~,None,~,None,~,None,~
352,Kecleon,None,~,None,~,None,~,None,~,None,~,None,~,None,~
353,Shuppet,Level Up,Banette,None,~,None,~,None,~,None,~,None,~,None,~
354,Banette,None,~,None,~,None,~,None,~,None,~,None,~,None,~
355,Duskull,Level Up,Dusclops,None,~,None,~,None,~,None,~,None,~,None,~
356,Dusclops,Trade (Item),Dusknoir,None,~,None,~,None,~,None,~,None,~,None,~
357,Tropius,None,~,None,~,None,~,None,~,None,~,None,~,None,~
358,Chimecho,None,~,None,~,None,~,None,~,None,~,None,~,None,~
359,Absol,None,~,None,~,None,~,None,~,None,~,None,~,None,~
360,Wynaut,Level Up,Wobbuffet,None,~,None,~,None,~,None,~,None,~,None,~
361,Snorunt,Level Up,Glalie,Use Item (Female),Froslass,None,~,None,~,None,~,None,~,None,~
362,Glalie,None,~,None,~,None,~,None,~,None,~,None,~,None,~
363,Spheal,Level Up,Sealeo,None,~,None,~,None,~,None,~,None,~,None,~
364,Sealeo,Level Up,Walrein,None,~,None,~,None,~,None,~,None,~,None,~
365,Walrein,None,~,None,~,None,~,None,~,None,~,None,~,None,~
366,Clamperl,Trade (Item),Huntail,Trade (Item),Gorebyss,None,~,None,~,None,~,None,~,None,~
367,Huntail,None,~,None,~,None,~,None,~,None,~,None,~,None,~
368,Gorebyss,None,~,None,~,None,~,None,~,None,~,None,~,None,~
369,Relicanth,None,~,None,~,None,~,None,~,None,~,None,~,None,~
370,Luvdisc,None,~,None,~,None,~,None,~,None,~,None,~,None,~
371,Bagon,Level Up,Shelgon,None,~,None,~,None,~,None,~,None,~,None,~
372,Shelgon,Level Up,Salamence,None,~,None,~,None,~,None,~,None,~,None,~
373,Salamence,None,~,None,~,None,~,None,~,None,~,None,~,None,~
374,Beldum,Level Up,Metang,None,~,None,~,None,~,None,~,None,~,None,~
375,Metang,Level Up,Metagross,None,~,None,~,None,~,None,~,None,~,None,~
376,Metagross,None,~,None,~,None,~,None,~,None,~,None,~,None,~
377,Regirock,None,~,None,~,None,~,None,~,None,~,None,~,None,~
378,Regice,None,~,None,~,None,~,None,~,None,~,None,~,None,~
379,Registeel,None,~,None,~,None,~,None,~,None,~,None,~,None,~
380,Latias,None,~,None,~,None,~,None,~,None,~,None,~,None,~
381,Latios,None,~,None,~,None,~,None,~,None,~,None,~,None,~
382,Kyogre,None,~,None,~,None,~,None,~,None,~,None,~,None,~
383,Groudon,None,~,None,~,None,~,None,~,None,~,None,~,None,~
384,Rayquaza,None,~,None,~,None,~,None,~,None,~,None,~,None,~
385,Jirachi,None,~,None,~,None,~,None,~,None,~,None,~,None,~
386,Deoxys (N),None,~,None,~,None,~,None,~,None,~,None,~,None,~
387,Turtwig,Level Up,Grotle,None,~,None,~,None,~,None,~,None,~,None,~
388,Grotle,Level Up,Torterra,None,~,None,~,None,~,None,~,None,~,None,~
389,Torterra,None,~,None,~,None,~,None,~,None,~,None,~,None,~
390,Chimchar,Level Up,Monferno,None,~,None,~,None,~,None,~,None,~,None,~
391,Monferno,Level Up,Infernape,None,~,None,~,None,~,None,~,None,~,None,~
392,Infernape,None,~,None,~,None,~,None,~,None,~,None,~,None,~
393,Piplup,Level Up,Prinplup,None,~,None,~,None,~,None,~,None,~,None,~
394,Prinplup,Level Up,Empoleon,None,~,None,~,None,~,None,~,None,~,None,~
395,Empoleon,None,~,None,~,None,~,None,~,None,~,None,~,None,~
396,Starly,Level Up,Staravia,None,~,None,~,None,~,None,~,None,~,None,~
397,Staravia,Level Up,Staraptor,None,~,None,~,None,~,None,~,None,~,None,~
398,Staraptor,None,~,None,~,None,~,None,~,None,~,None,~,None,~
399,Bidoof,Level Up,Bibarel,None,~,None,~,None,~,None,~,None,~,None,~
400,Bibarel,None,~,None,~,None,~,None,~,None,~,None,~,None,~
401,Kricketot,Level Up,Kricketune,None,~,None,~,None,~,None,~,None,~,None,~
402,Kricketune,None,~,None,~,None,~,None,~,None,~,None,~,None,~
403,Shinx,Level Up,Luxio,None,~,None,~,None,~,None,~,None,~,None,~
404,Luxio,Level Up,Luxray,None,~,None,~,None,~,None,~,None,~,None,~
405,Luxray,None,~,None,~,None,~,None,~,None,~,None,~,None,~
406,Budew,Happiness (Day),Roselia,None,~,None,~,None,~,None,~,None,~,None,~
407,Roserade,None,~,None,~,None,~,None,~,None,~,None,~,None,~
408,Cranidos,Level Up,Rampardos,None,~,None,~,None,~,None,~,None,~,None,~
409,Rampardos,None,~,None,~,None,~,None,~,None,~,None,~,None,~
410,Shieldon,Level Up,Bastiodon,None,~,None,~,None,~,None,~,None,~,None,~
411,Bastiodon,None,~,None,~,None,~,None,~,None,~,None,~,None,~
412,Burmy,Level (Female),Wormadam (P),Level (Male),Mothim,None,~,None,~,None,~,None,~,None,~
413,Wormadam (P),None,~,None,~,None,~,None,~,None,~,None,~,None,~
414,Mothim,None,~,None,~,None,~,None,~,None,~,None,~,None,~
415,Combee,Level (Female),Vespiquen,None,~,None,~,None,~,None,~,None,~,None,~
416,Vespiquen,None,~,None,~,None,~,None,~,None,~,None,~,None,~
417,Pachirisu,None,~,None,~,None,~,None,~,None,~,None,~,None,~
418,Buizel,Level Up,Floatzel,None,~,None,~,None,~,None,~,None,~,None,~
419,Floatzel,None,~,None,~,None,~,None,~,None,~,None,~,None,~
420,Cherubi,Level Up,Cherrim,None,~,None,~,None,~,None,~,None,~,None,~
421,Cherrim,None,~,None,~,None,~,None,~,None,~,None,~,None,~
422,Shellos,Level Up,Gastrodon,None,~,None,~,None,~,None,~,None,~,None,~
423,Gastrodon,None,~,None,~,None,~,None,~,None,~,None,~,None,~
424,Ambipom,None,~,None,~,None,~,None,~,None,~,None,~,None,~
425,Drifloon,Level Up,Drifblim,None,~,None,~,None,~,None,~,None,~,None,~
426,Drifblim,None,~,None,~,None,~,None,~,None,~,None,~,None,~
427,Buneary,Happiness,Lopunny,None,~,None,~,None,~,None,~,None,~,None,~
428,Lopunny,None,~,None,~,None,~,None,~,None,~,None,~,None,~
429,Mismagius,None,~,None,~,None,~,None,~,None,~,None,~,None,~
430,Honchkrow,None,~,None,~,None,~,None,~,None,~,None,~,None,~
431,Glameow,Level Up,Purugly,None,~,None,~,None,~,None,~,None,~,None,~
432,Purugly,None,~,None,~,None,~,None,~,None,~,None,~,None,~
433,Chingling,Happiness (Night),Chimecho,None,~,None,~,None,~,None,~,None,~,None,~
434,Stunky,Level Up,Skuntank,None,~,None,~,None,~,None,~,None,~,None,~
435,Skuntank,None,~,None,~,None,~,None,~,None,~,None,~,None,~
436,Bronzor,Level Up,Bronzong,None,~,None,~,None,~,None,~,None,~,None,~
437,Bronzong,None,~,None,~,None,~,None,~,None,~,None,~,None,~
438,Bonsly,Attack Known,Sudowoodo,None,~,None,~,None,~,None,~,None,~,None,~
439,Mime Jr.,Attack Known,Mr. Mime,None,~,None,~,None,~,None,~,None,~,None,~
440,Happiny,Use Item (Day),Chansey,None,~,None,~,None,~,None,~,None,~,None,~
441,Chatot,None,~,None,~,None,~,None,~,None,~,None,~,None,~
442,Spiritomb,None,~,None,~,None,~,None,~,None,~,None,~,None,~
443,Gible,Level Up,Gabite,None,~,None,~,None,~,None,~,None,~,None,~
444,Gabite,Level Up,Garchomp,None,~,None,~,None,~,None,~,None,~,None,~
445,Garchomp,None,~,None,~,None,~,None,~,None,~,None,~,None,~
446,Munchlax,Happiness,Snorlax,None,~,None,~,None,~,None,~,None,~,None,~
447,Riolu,Happiness (Day),Lucario,None,~,None,~,None,~,None,~,None,~,None,~
448,Lucario,None,~,None,~,None,~,None,~,None,~,None,~,None,~
449,Hippopotas,Level Up,Hippowdon,None,~,None,~,None,~,None,~,None,~,None,~
450,Hippowdon,None,~,None,~,None,~,None,~,None,~,None,~,None,~
451,Skorupi,Level Up,Drapion,None,~,None,~,None,~,None,~,None,~,None,~
452,Drapion,None,~,None,~,None,~,None,~,None,~,None,~,None,~
453,Croagunk,Level Up,Toxicroak,None,~,None,~,None,~,None,~,None,~,None,~
454,Toxicroak,None,~,None,~,None,~,None,~,None,~,None,~,None,~
455,Carnivine,None,~,None,~,None,~,None,~,None,~,None,~,None,~
456,Finneon,Level Up,Lumineon,None,~,None,~,None,~,None,~,None,~,None,~
457,Lumineon,None,~,None,~,None,~,None,~,None,~,None,~,None,~
458,Mantyke,Pokemon in Party,Mantine,None,~,None,~,None,~,None,~,None,~,None,~
459,Snover,Level Up,Abomasnow,None,~,None,~,None,~,None,~,None,~,None,~
460,Abomasnow,None,~,None,~,None,~,None,~,None,~,None,~,None,~
461,Weavile,None,~,None,~,None,~,None,~,None,~,None,~,None,~
462,Magnezone,None,~,None,~,None,~,None,~,None,~,None,~,None,~
463,Lickilicky,None,~,None,~,None,~,None,~,None,~,None,~,None,~
464,Rhyperior,None,~,None,~,None,~,None,~,None,~,None,~,None,~
465,Tangrowth,None,~,None,~,None,~,None,~,None,~,None,~,None,~
466,Electivire,None,~,None,~,None,~,None,~,None,~,None,~,None,~
467,Magmortar,None,~,None,~,None,~,None,~,None,~,None,~,None,~
468,Togekiss,None,~,None,~,None,~,None,~,None,~,None,~,None,~
469,Yanmega,None,~,None,~,None,~,None,~,None,~,None,~,None,~
470,Leafeon,None,~,None,~,None,~,None,~,None,~,None,~,None,~
471,Glaceon,None,~,None,~,None,~,None,~,None,~,None,~,None,~
472,Gliscor,None,~,None,~,None,~,None,~,None,~,None,~,None,~
473,Mamoswine,None,~,None,~,None,~,None,~,None,~,None,~,None,~
474,Porygon-Z,None,~,None,~,None,~,None,~,None,~,None,~,None,~
475,Gallade,None,~,None,~,None,~,None,~,None,~,None,~,None,~
476,Probopass,None,~,None,~,None,~,None,~,None,~,None,~,None,~
477,Dusknoir,None,~,None,~,None,~,None,~,None,~,None,~,None,~
478,Froslass,None,~,None,~,None,~,None,~,None,~,None,~,None,~
479,Rotom,None,~,None,~,None,~,None,~,None,~,None,~,None,~
480,Uxie,None,~,None,~,None,~,None,~,None,~,None,~,None,~
481,Mesprit,None,~,None,~,None,~,None,~,None,~,None,~,None,~
482,Azelf,None,~,None,~,None,~,None,~,None,~,None,~,None,~
483,Dialga,None,~,None,~,None,~,None,~,None,~,None,~,None,~
484,Palkia,None,~,None,~,None,~,None,~,None,~,None,~,None,~
485,Heatran,None,~,None,~,None,~,None,~,None,~,None,~,None,~
486,Regigigas,None,~,None,~,None,~,None,~,None,~,None,~,None,~
487,Giratina,None,~,None,~,None,~,None,~,None,~,None,~,None,~
488,Cresselia,None,~,None,~,None,~,None,~,None,~,None,~,None,~
489,Phione,None,~,None,~,None,~,None,~,None,~,None,~,None,~
490,Manaphy,None,~,None,~,None,~,None,~,None,~,None,~,None,~
491,Darkrai,None,~,None,~,None,~,None,~,None,~,None,~,None,~
492,Shaymin,None,~,None,~,None,~,None,~,None,~,None,~,None,~
493,Arceus,None,~,None,~,None,~,None,~,None,~,None,~,None,~
494,Egg,None,~,None,~,None,~,None,~,None,~,None,~,None,~
495,Bad Egg,None,~,None,~,None,~,None,~,None,~,None,~,None,~
496,Deoxys (A),None,~,None,~,None,~,None,~,None,~,None,~,None,~
497,Deoxys (D),None,~,None,~,None,~,None,~,None,~,None,~,None,~
498,Deoxys (S),None,~,None,~,None,~,None,~,None,~,None,~,None,~
499,Wormadam (S),None,~,None,~,None,~,None,~,None,~,None,~,None,~
500,Wormadam (T),None,~,None,~,None,~,None,~,None,~,None,~,None,~
501,Giratina (O),None,~,None,~,None,~,None,~,None,~,None,~,None,~
502,Shaymin (S),None,~,None,~,None,~,None,~,None,~,None,~,None,~
503,Rotom (Heat),None,~,None,~,None,~,None,~,None,~,None,~,None,~
504,Rotom (Wash),None,~,None,~,None,~,None,~,None,~,None,~,None,~
505,Rotom (Frost),None,~,None,~,None,~,None,~,None,~,None,~,None,~
506,Rotom (Fan),None,~,None,~,None,~,None,~,None,~,None,~,None,~
507,Rotom (Mow),None,~,None,~,None,~,None,~,None,~,None,~,None,~